row_index,relative_bag_time_s,model,baseline.right_hip_target_rad,baseline.left_hip_target_rad,freeze_current_hip.right_hip_target_rad,freeze_current_hip.left_hip_target_rad,freeze_all_history_hip.right_hip_target_rad,freeze_all_history_hip.left_hip_target_rad,zero_velocity_code.right_hip_target_rad,zero_velocity_code.left_hip_target_rad,full_model_current_q.dtarget0_dinput0,full_model_current_q.dtarget0_dinput1,full_model_current_q.dtarget1_dinput0,full_model_current_q.dtarget1_dinput1,full_model_current_dq.dtarget0_dinput0,full_model_current_dq.dtarget0_dinput1,full_model_current_dq.dtarget1_dinput0,full_model_current_dq.dtarget1_dinput1,actor_direct_q.dtarget0_dinput0,actor_direct_q.dtarget0_dinput1,actor_direct_q.dtarget1_dinput0,actor_direct_q.dtarget1_dinput1,actor_direct_dq.dtarget0_dinput0,actor_direct_dq.dtarget0_dinput1,actor_direct_dq.dtarget1_dinput0,actor_direct_dq.dtarget1_dinput1,recorded.right_hip_target_rad,recorded.left_hip_target_rad
3216,0.3200601470000066,new,0.8820237517356873,-0.807991087436676,0.09217938,-0.09179935,0.08104248,-0.07821449,0.8698262,-0.8141785,-0.95224375,1.15031,1.3683437,-1.5170573,-0.046107173,0.04673302,0.038534403,-0.041255355,-0.96902245,1.155436,1.6002654,-1.2788175,-0.045776367,0.04646182,0.039976835,-0.040853024,0.769490122795105,-0.8116779327392578
3217,0.34003780199999767,new,-2.237558364868164,2.0194954872131348,-0.08850529,0.08822853,-0.08896842,0.092139885,-2.2495825,2.0300438,-4.464984,-0.27644634,1.9207,-4.503846,-0.08175373,0.057399273,0.06519556,-0.08113384,-2.7951,1.9196271,2.7627943,-3.1018255,-0.078213215,0.066781044,0.06700754,-0.07586479,-2.0364761352539062,2.06663179397583
3218,0.36002141000000165,new,0.25344371795654297,-0.20832383632659912,0.38527298,-0.22640674,0.39079994,-0.22256905,0.12176475,-0.098879434,-0.75314933,0.83921844,-0.057734545,0.11365115,-0.046804547,0.046515465,0.047554076,-0.050961226,-0.7307976,0.8694976,-0.040508803,0.119775526,-0.04722774,0.046741962,0.048100203,-0.051105767,0.0537613108754158,-0.17245826125144958
3219,0.3800618860000071,new,1.8938705921173096,-1.6301640272140503,0.100937225,0.0010055006,0.094712205,-0.00047444925,1.6250429,-1.4875814,-2.3424625,2.9556153,2.231419,-2.6980636,-0.030058622,0.03131628,0.026965141,-0.030511618,-2.4635792,2.9641387,2.5148985,-2.551019,-0.030648708,0.03117919,0.028413534,-0.030255318,1.8596700429916382,-1.7085477113723755
3220,0.4000317650000085,new,-2.0125372409820557,1.7075262069702148,-0.5987745,0.5042014,-0.623762,0.5207454,-1.8916562,1.5763289,-1.5224217,0.92530245,1.5234946,-1.4704465,-0.063598156,0.056111813,0.04939437,-0.05081296,-1.0066032,1.1246204,1.5075802,-1.222372,-0.06068945,0.05671978,0.049948692,-0.051009655,-2.160010576248169,1.9862860441207886
3221,0.4200608800000083,new,-1.5286074876785278,1.7463277578353882,0.22048871,-0.05821798,0.15632792,-0.047414154,-1.4660957,1.5354701,-0.88566536,0.4122257,0.45490262,-0.53203106,-0.073093176,0.07247925,0.066274405,-0.074607134,-0.61678886,0.4073381,0.4149675,-0.42045113,-0.07297993,0.07368326,0.064873695,-0.07408857,-2.5542707443237305,2.409405469894409
3222,0.44004672799999867,new,1.5575249195098877,-1.5391284227371216,0.36193272,-0.30488425,0.40995356,-0.2935831,1.1388441,-1.263904,-0.98681444,1.4073251,0.675857,-0.8191466,-0.0390172,0.04259348,0.037300587,-0.045359135,-1.0843277,1.5456079,0.8384585,-0.8118152,-0.040209293,0.042539835,0.038141012,-0.044846535,1.8843481540679932,-2.1085197925567627
3223,0.46003427099999783,new,1.2485706806182861,-0.9904573559761047,-0.44933632,0.53939354,-0.5480924,0.5288799,1.0681682,-1.0597669,-0.8091926,1.6844867,1.0644197,-1.9201635,-0.061631203,0.06625056,0.051611662,-0.059568882,-1.1219382,1.5221833,1.5987753,-1.5177726,-0.062066317,0.064986944,0.053977966,-0.05839467,1.1956583261489868,-1.3978362083435059
3224,0.48006505099999686,new,-3.252887010574341,3.412743330001831,-0.57511485,0.4991966,-0.58093673,0.47958878,-3.266921,3.2761965,-0.6427764,0.29814243,0.25057793,-0.79584116,-0.062203407,0.052809715,0.06356239,-0.067043304,-0.43618676,0.36132333,0.45299527,-0.52404404,-0.06006956,0.05310774,0.06517172,-0.06715059,-3.3725662231445312,3.678147315979004
3225,0.5000307050000004,new,0.5269827246665955,-0.45705950260162354,0.65360194,-0.3686111,0.7315563,-0.4381858,0.3449807,-0.29602504,-0.48258898,0.47856566,0.058606263,0.0060945745,-0.035488605,0.035202503,0.041487813,-0.044831634,-0.441879,0.4559457,0.07227063,0.023871658,-0.035709143,0.03514588,0.04170239,-0.044748187,0.19539611041545868,-0.2971842586994171
3226,0.5200696769999951,new,1.5037546157836914,-1.3240940570831299,0.22632195,-0.029292984,0.20721972,-0.079084024,1.0815223,-1.0123821,-2.2719502,2.728164,1.7763971,-2.1559596,-0.030738115,0.032651424,0.02580285,-0.032269955,-2.390623,2.8021333,2.0776987,-2.118647,-0.03080368,0.03131032,0.026679039,-0.030654669,0.9664124250411987,-0.9912896752357483
3227,0.5400708859999952,new,-1.349686861038208,1.6587499380111694,0.020538485,0.3261866,-0.031483315,0.19169417,-1.0005299,0.90679485,-2.8116105,2.302587,4.3768883,-4.0709376,-0.06309748,0.057399273,0.062692165,-0.06558895,-2.3912787,2.315104,4.2846203,-3.8471816,-0.061529875,0.05853772,0.06311536,-0.06685853,-1.2805202007293701,1.6669824123382568
3228,0.5600694390000029,new,-0.7445288300514221,1.140029788017273,0.2828388,-0.017538669,0.2627167,-0.0614821,-0.7637572,1.1292651,-1.1735857,0.71603054,1.29503,-0.6795525,-0.032529235,0.032246113,0.051265955,-0.055760145,-1.0009408,0.783652,1.111567,-0.7091164,-0.032117963,0.03273487,0.050723553,-0.056380033,-2.022592067718506,2.320535659790039
